date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,ds,Adj. Close,Adj. Open,y,Daily Change
2012-05-18,42.05,45.0,38.0,38.2318,38.2318,573576400.0,0.0,1.0,2012-05-18,38.2318,42.05,38.2318,-3.8181999999999974
2012-05-21,36.53,36.66,33.0,34.03,34.03,168192700.0,0.0,1.0,2012-05-21,34.03,36.53,34.03,-2.5
2012-05-22,32.61,33.59,30.94,31.0,31.0,101786600.0,0.0,1.0,2012-05-22,31.0,32.61,31.0,-1.6099999999999994
2012-05-23,31.37,32.5,31.36,32.0,32.0,73600000.0,0.0,1.0,2012-05-23,32.0,31.37,32.0,0.629999999999999
2012-05-24,32.95,33.21,31.77,33.03,33.03,50237200.0,0.0,1.0,2012-05-24,33.03,32.95,33.03,0.0799999999999983
2012-05-25,32.9,32.95,31.11,31.91,31.91,37149800.0,0.0,1.0,2012-05-25,31.91,32.9,31.91,-0.9899999999999984
2012-05-29,31.48,31.69,28.65,28.84,28.84,78063400.0,0.0,1.0,2012-05-29,28.84,31.48,28.84,-2.6400000000000006
2012-05-30,28.695,29.55,27.86,28.19,28.19,57267900.0,0.0,1.0,2012-05-30,28.19,28.695,28.19,-0.504999999999999
2012-05-31,28.545,29.67,26.83,29.6,29.6,111639200.0,0.0,1.0,2012-05-31,29.6,28.545,29.6,1.0549999999999997
2012-06-01,28.892,29.15,27.39,27.72,27.72,41855500.0,0.0,1.0,2012-06-01,27.72,28.892,27.72,-1.1720000000000006
2012-06-04,27.2,27.65,26.44,26.9,26.9,35230300.0,0.0,1.0,2012-06-04,26.9,27.2,26.9,-0.3000000000000007
2012-06-05,26.7,27.76,25.75,25.869,25.869,42473400.0,0.0,1.0,2012-06-05,25.869,26.7,25.869,-0.8309999999999995
2012-06-06,26.07,27.17,25.52,26.81,26.81,61489200.0,0.0,1.0,2012-06-06,26.81,26.07,26.81,0.7399999999999984
2012-06-07,27.0,27.35,26.15,26.31,26.31,26159500.0,0.0,1.0,2012-06-07,26.31,27.0,26.31,-0.6900000000000013
2012-06-08,26.55,27.76,26.44,27.1,27.1,38034000.0,0.0,1.0,2012-06-08,27.1,26.55,27.1,0.5500000000000007
2012-06-11,27.18,28.07,26.835,27.005,27.005,28219600.0,0.0,1.0,2012-06-11,27.005,27.18,27.005,-0.1750000000000007
2012-06-12,27.48,27.77,26.96,27.4,27.4,15816800.0,0.0,1.0,2012-06-12,27.4,27.48,27.4,-0.08000000000000185
2012-06-13,27.66,28.1,27.1,27.27,27.27,17102800.0,0.0,1.0,2012-06-13,27.27,27.66,27.27,-0.39000000000000057
2012-06-14,27.65,28.32,27.38,28.29,28.29,16855000.0,0.0,1.0,2012-06-14,28.29,27.65,28.29,0.6400000000000006
2012-06-15,28.505,30.1,28.35,30.014,30.014,43563800.0,0.0,1.0,2012-06-15,30.014,28.505,30.014,1.5090000000000003
2012-06-18,29.955,32.08,29.41,31.41,31.41,42978900.0,0.0,1.0,2012-06-18,31.41,29.955,31.41,1.4550000000000018
2012-06-19,31.535,32.18,30.7,31.911,31.911,30849000.0,0.0,1.0,2012-06-19,31.911,31.535,31.911,0.3760000000000012
2012-06-20,31.92,31.9288,31.15,31.6,31.6,15553600.0,0.0,1.0,2012-06-20,31.6,31.92,31.6,-0.3200000000000003
